tag,description,qty,unit,sheet_id,table_title,bbox_px
AHU-T1A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1550.162,3958.318,1584.722"
AHU-T1B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1584.722,3958.318,1619.282"
CHW-BP-T,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1688.162,3958.318,1722.722"
CRAH-T1A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1619.282,3958.318,1653.602"
CRAH-T1B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1653.602,3958.318,1688.162"
CV-AHU-A1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,611.5239999999999,3802.32,646.0859999999998"
CV-AHU-A2-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,646.0859999999998,3802.32,680.6460000000002"
CV-AHU-M1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,410.6399999999999,1918.08,445.1999999999998"
CV-CH-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,680.6460000000002,3802.32,714.9659999999999"
CV-CH-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,714.9659999999999,3802.32,749.5239999999999"
CV-CH-C-MT1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,583.1999999999998,1918.08,617.7600000000002"
CV-CH-C-MT2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,617.7600000000002,1918.08,652.0799999999999"
CV-CHW-BP-A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,749.5239999999999,3802.32,784.0839999999998"
CV-CHW-BP-M,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,652.0799999999999,1918.08,686.6399999999999"
CV-CRAH-M1A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,445.1999999999998,1918.08,479.7600000000002"
CV-CRAH-M1B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,479.7600000000002,1918.08,514.3200000000002"
CV-CRAH-M2A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,514.3200000000002,1918.08,548.6399999999999"
CV-CRAH-M2B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,548.6399999999999,1918.08,583.1999999999998"
CV-DOAH-A1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,784.0839999999998,3802.32,818.404"
CV-DOAH-A2-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,818.404,3802.32,852.9639999999999"
CV-DOAH-M1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,686.6399999999999,1918.08,721.1999999999998"
CV-FCU-A1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,852.9639999999999,3802.32,887.5259999999998"
CV-FCU-A2-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,887.5259999999998,3802.32,921.844"
CV-FCU-A3-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,921.844,3802.32,956.404"
CV-FCU-A4-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,956.404,3802.32,990.9639999999999"
CV-FCU-A5-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,990.9639999999999,3802.32,1025.524"
CV-FCU-A6-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1025.524,3802.32,1059.844"
CV-FCU-A7-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1059.844,3802.32,1094.404"
CV-FCU-A8A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1094.404,3802.32,1128.964"
CV-FCU-A8B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1128.964,3802.32,1163.284"
CV-FCU-A9-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1163.284,3802.32,1197.844"
CV-FCU-A10-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1197.844,3802.32,1232.404"
CV-FCU-A11-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1232.404,3802.32,1266.964"
CV-FCU-A12-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1266.964,3802.32,1301.284"
CV-FCU-A13-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,"3611.04,1301.284,3802.32,1335.844"
CV-FCU-M1A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,721.1999999999998,1918.08,755.52"
CV-FCU-M1B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,755.52,1918.08,790.0799999999999"
CV-FCU-M2A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,790.0799999999999,1918.08,824.6399999999999"
CV-FCU-M2B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,824.6399999999999,1918.08,859.1999999999998"
CV-FCU-M3-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,859.1999999999998,1918.08,893.52"
CV-FCU-M4A-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,893.52,1918.08,928.0799999999999"
CV-FCU-M4B-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,928.0799999999999,1918.08,962.6399999999999"
CV-FCU-M5-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,962.6399999999999,1918.08,996.96"
CV-FCU-M6-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,996.96,1918.08,1031.52"
CV-FCU-M7-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,"1709.52,1031.52,1918.08,1066.08"
DOAH-T1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1722.722,3958.318,1757.282"
FCU-9-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,2102.1620000000003,3958.318,2136.482"
FCU-T1-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1757.282,3958.318,1791.602"
FCU-T2-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1791.602,3958.318,1826.162"
FCU-T3-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1826.162,3958.318,1860.722"
FCU-T4-CHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,CHW CONTROL VALVE SCHEDULE,"3785.28,1860.722,3958.318,1895.042"
